Lenovo ThinkPad E14 G2 (20T6000MGE),'13,0',AMD Ryzen 7 4700U,8339.00,992.72,3894.23,2.14,https://www.pricerunner.dk/pl/27-3200054635/Baerbar/Lenovo-ThinkPad-E14-G2-%2820T6000MGE%29-Sammenlign-Priser
Lenovo ThinkPad L13 Yoga 20R5000KGE,'12,2',Intel Core i7 10510U,7802.18,971.24,2477.90,3.15,https://www.pricerunner.dk/pl/27-5096766/Baerbar/Lenovo-ThinkPad-L13-Yoga-20R5000KGE-Sammenlign-Priser
Lenovo ThinkPad L13 Yoga 20R5000AMX,'12,2',Intel Core i5 10210U,8690.00,859.44,2149.59,4.04,https://www.pricerunner.dk/pl/27-5197447/Baerbar/Lenovo-ThinkPad-L13-Yoga-20R5000AMX-Sammenlign-Priser
Lenovo ThinkPad L14 20U50025MX,'',AMD Ryzen 5 4500U,6495.00,820.36,2502.22,2.60,https://www.pricerunner.dk/pl/27-3200006579/Baerbar/Lenovo-ThinkPad-L14-20U50025MX-Sammenlign-Priser
Lenovo ThinkBook 14s Yoga 20WE0003MX,'8,4',Intel Core i5 1135G7,7956.00,1252.32,3299.76,2.41,https://www.pricerunner.dk/pl/27-3200023291/Baerbar/Lenovo-ThinkBook-14s-Yoga-20WE0003MX-Sammenlign-Priser
Lenovo ThinkPad E14 G3 20Y7003SGE,'15,8',AMD Ryzen 5 5500U,7959.00,915.72,3492.12,2.28,https://www.pricerunner.dk/pl/27-3200253751/Baerbar/Lenovo-ThinkPad-E14-G3-20Y7003SGE-Sammenlign-Priser
Dell Latitude 5400 (29MWP),'',Intel Core i7 8650U,8699.00,848.36,2432.06,3.58,https://www.pricerunner.dk/pl/27-5135445/Baerbar/Dell-Latitude-5400-%2829MWP%29-Sammenlign-Priser
HP Pavilion 14-DV0033no,'9,0',Intel Core i7 1165G7,7439.00,1290.88,3408.67,2.18,https://www.pricerunner.dk/pl/27-3200087819/Baerbar/HP-Pavilion-14-DV0033no-Sammenlign-Priser
Lenovo ThinkBook 13s G3 ACN 20YA 20YA0007GE,'12,3',AMD Ryzen 5 5600U,7842.00,1238.48,4429.76,1.77,https://www.pricerunner.dk/pl/27-3200239671/Baerbar/Lenovo-ThinkBook-13s-G3-ACN-20YA-20YA0007GE-Sammenlign-Priser
HP Pavilion x360 14-dw1038no,'10,7',Intel Core i7 1165G7 ,7815.00,1290.88,3408.67,2.29,https://www.pricerunner.dk/pl/27-3200086787/Baerbar/HP-Pavilion-x360-14-dw1038no-Sammenlign-Priser
Lenovo Yoga 7 14ITL05 82BH004XGE,'16,0',Intel Core i7 1165G7 ,8232.32,1290.88,3408.67,2.42,https://www.pricerunner.dk/pl/27-3200247008/Baerbar/Lenovo-Yoga-7-14ITL05-82BH004XGE-Sammenlign-Priser
Lenovo ThinkBook 14 G2 ARE 20VF000BUK,'7,5',AMD Ryzen 7 4700U,8183.39,992.72,3894.23,2.10,https://www.pricerunner.dk/pl/27-3200173082/Baerbar/Lenovo-ThinkBook-14-G2-ARE-20VF000BUK-Sammenlign-Priser
Dell Latitude 3310 1WWJT,'',Intel Core i5 8265U,6890.83,915.88,2327.32,2.96,https://www.pricerunner.dk/pl/27-3200047365/Baerbar/Dell-Latitude-3310-1WWJT-Sammenlign-Priser
Lenovo ThinkPad L13 20VH001CGE,'12,2',Intel Core i7 1165G7,8470.29,1290.88,3408.67,2.48,https://www.pricerunner.dk/pl/27-3200236819/Baerbar/Lenovo-ThinkPad-L13-20VH001CGE-Sammenlign-Priser
Lenovo ThinkBook 14 20SL003JUK,'9,0',Intel Core i7 1065G7,7300.16,1107.36,3084.78,2.37,https://www.pricerunner.dk/pl/27-5277640/Baerbar/Lenovo-ThinkBook-14-20SL003JUK-Sammenlign-Priser
Lenovo Yoga Slim 7-13 82CY0005MX,'14,0',AMD Ryzen 7 5800U,7117.00,1382.68,5520.52,1.29,https://www.pricerunner.dk/pl/27-3200212592/Baerbar/Lenovo-Yoga-Slim-7-13-82CY0005MX-Sammenlign-Priser
Lenovo IdeaPad Flex 5 14ARE05 81X200CHMX,'12,0',AMD Ryzen 5 4500U,6103.00,820.36,2502.22,2.44,https://www.pricerunner.dk/pl/27-3200257929/Baerbar/Lenovo-IdeaPad-Flex-5-14ARE05-81X200CHMX-Sammenlign-Priser
Dell Latitude 5410 (4N4GD),'',Intel Core i5 10310U ,8353.00,1009.44,2638.56,3.17,https://www.pricerunner.dk/pl/27-3200235701/Baerbar/Dell-Latitude-5410-%284N4GD%29-Sammenlign-Priser
Lenovo ThinkPad L14 Gen 2 20X1004BMX,'11,8',Intel Core i5 1135G7 ,8461.00,1252.32,3299.76,2.56,https://www.pricerunner.dk/pl/27-3200218438/Baerbar/Lenovo-ThinkPad-L14-Gen-2-20X1004BMX-Sammenlign-Priser
Dell Latitude 7300 (98CR7),'',Intel Core i5 8365U,6510.00,875.08,2274.28,2.86,https://www.pricerunner.dk/pl/27-5182383/Baerbar/Dell-Latitude-7300-%2898CR7%29-Sammenlign-Priser
Dell Latitude 7300 (5NPC4),'',Intel Core i5 8365U,7161.00,875.08,2274.28,3.15,https://www.pricerunner.dk/pl/27-4972703/Baerbar/Dell-Latitude-7300-%285NPC4%29-Sammenlign-Priser
Dell Latitude 5420 (YH4Y9),'',Intel Core i5 1135G7,8799.00,1252.32,3299.76,2.67,https://www.pricerunner.dk/pl/27-3200106329/Baerbar/Dell-Latitude-5420-%28YH4Y9%29-Sammenlign-Priser
Lenovo ThinkBook 14 G2 20VF000AGE,'7,5',AMD Ryzen 5 4500U,6234.00,820.36,2502.22,2.49,https://www.pricerunner.dk/pl/27-3200249440/Baerbar/Lenovo-ThinkBook-14-G2-20VF000AGE-Sammenlign-Priser
Lenovo ThinkPad E14 20RA001MPB,'12,8',Intel Core i5 10210U,6920.00,859.44,2149.59,3.22,https://www.pricerunner.dk/pl/27-5223465/Baerbar/Lenovo-ThinkPad-E14-20RA001MPB-Sammenlign-Priser
HP ProBook 635 Aero G7 2E9F5EA,'',AMD Ryzen 5 Pro 4650U ,8120.00,1016.28,3634.86,2.23,https://www.pricerunner.dk/pl/27-3200255504/Baerbar/HP-ProBook-635-Aero-G7-2E9F5EA-Sammenlign-Priser
HP ProBook 430 G7 8VT46EA,'',Intel Core i5 10210U,7665.00,859.44,2149.59,3.57,https://www.pricerunner.dk/pl/27-5293642/Baerbar/HP-ProBook-430-G7-8VT46EA-Sammenlign-Priser
Lenovo ThinkPad L14 20X1004MGE,'11,8',Intel Core i5 1135G7,7920.05,1252.32,3299.76,2.40,https://www.pricerunner.dk/pl/27-3200232758/Baerbar/Lenovo-ThinkPad-L14-20X1004MGE-Sammenlign-Priser
Lenovo ThinkPad E14 20RA001MGE,'12,8',Intel Core i5 10210U,8069.00,859.44,2149.59,3.75,https://www.pricerunner.dk/pl/27-5110931/Baerbar/Lenovo-ThinkPad-E14-20RA001MGE-Sammenlign-Priser
Lenovo ThinkPad E14 G2 20TA000EGE,'11,9',Intel Core i5 1135G7,8419.00,1252.32,3299.76,2.55,https://www.pricerunner.dk/pl/27-3200215854/Baerbar/Lenovo-ThinkPad-E14-G2-20TA000EGE-Sammenlign-Priser
Lenovo Yoga Slim 7 14ARE05 82A2006XPB,'17,5',AMD Ryzen 5 4500U ,6466.00,820.36,2502.22,2.58,https://www.pricerunner.dk/pl/27-3200258074/Baerbar/Lenovo-Yoga-Slim-7-14ARE05-82A2006XPB-Sammenlign-Priser
Lenovo ThinkPad E14 20RA0016GE,'12,8',Intel Core i5 10210U,6902.00,859.44,2149.59,3.21,https://www.pricerunner.dk/pl/27-5110695/Baerbar/Lenovo-ThinkPad-E14-20RA0016GE-Sammenlign-Priser
